,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,60,60.0,60.0,49.5,49.5,49.5,49.5,49.5,39.0,39.0,39.0,28.5,28.5,28.5
1,60,60.0,43.5,43.5,43.5,43.5,43.5,33.9,33.9,33.9,33.9,33.9,33.9,33.9
2,60,60.0,60.0,43.5,43.5,43.5,43.5,43.5,27.0,16.5,16.5,16.5,6.0,6.0
3,60,60.0,60.0,60.0,60.0,60.0,60.0,49.5,49.5,49.5,39.0,30.3,23.1,23.1
4,60,60.0,60.0,60.0,60.0,60.0,60.0,48.6,48.6,48.6,38.1,29.400000000000002,29.400000000000002,29.400000000000002
5,60,52.8,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,23.699999999999996,23.699999999999996,23.699999999999996,23.699999999999996,15.899999999999995,15.899999999999995,8.099999999999994,8.099999999999994
6,60,52.8,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,24.599999999999994,8.099999999999994,8.099999999999994,8.099999999999994,8.099999999999994,-1.5000000000000053
7,60,52.8,52.8,52.8,52.8,44.099999999999994,44.099999999999994,44.099999999999994,44.099999999999994,27.599999999999994,27.599999999999994,27.599999999999994,27.599999999999994,16.199999999999996
8,60,60.0,60.0,60.0,52.8,52.8,52.8,35.099999999999994,35.099999999999994,35.099999999999994,24.599999999999994,24.599999999999994,24.599999999999994,24.599999999999994
9,60,60.0,42.3,42.3,42.3,42.3,24.599999999999998,24.599999999999998,24.599999999999998,24.599999999999998,24.599999999999998,24.599999999999998,15.899999999999999,15.899999999999999
